O;Worst;Best ;Average;sigma
37,5;36,00;38,00;36,75;0,8291561976
37,2;34,00;38,00;36,2;1,788854382
37,5;31,00;38,00;35,5;2,8722813233
37,5;34,00;38,00;36,25;1,4790199458
37,5;24,00;26,00;25,00;1,00
86,25;56,00;62,00;59,25;2,7726341266
86,25;55,00;65,00;59,25;4,0233692349
86,25;54,00;56,00;55,00;0,7071067812
86,25;48,00;56,00;52,5;3,2015621187
86,25;53,00;63,00;59,5;3,8405728739
192,000;146,00;149,00;147,5;1,5
192,000;131,00;136,00;132,25;2,1650635095
192,000;123,00;136,00;130,5;5,3150729064
192,000;142,00;145,00;143,25;1,0897247359
192,000;128,00;141,00;134,75;4,6569840025
76,5;57,00;58,00;57,5;0,5
76,5;54,00;57,00;55,75;1,0897247359
76,5;45,00;58,00;52,25;4,7103609204
76,5;57,00;58,00;57,75;0,4330127019
76,5;55,00;58,00;56,5;1,1180339887
142,25;133,00;138,00;135,5;1,8027756377
142,25;127,00;134,00;131,25;2,6809513237
142,25;128,00;131,00;128,75;1,2990381057
142,25;133,00;139,00;135,75;2,1650635095
142,25;127,00;135,00;131,75;2,9474565306
53,75;47,00;51,00;49,25;1,7853571071
53,75;48,00;52,00;50,75;1,6393596311
53,75;48,00;53,00;50,5;1,8027756377
53,75;50,00;55,00;52,00;2,1213203436
53,75;50,00;53,00;51,00;1,2247448714
53,75;50,00;55,00;52,00;2,1213203436
44,5;43,00;45,00;44,00;0,7071067812
44,5;27,00;35,00;39,85;3,0310889132
44,5;37,00;41,00;39,00;2,0
44,5;43,00;45,00;44,25;0,8291561976
44,5;38,00;44,00;41,25;2,3848480035
