;"O";"W";"B";"A";
;"iris";;;;
"LDAC";39,0;36,0;38,0;36,8;0,8
"KNN";39,0;34,0;38,0;36,2;1,8
"GINI";39,0;31,0;38,0;35,5;2,9
"MACL";39,0;34,0;38,0;36,3;1,5
"SVM";39,0;24,0;26,0;25,0;1,0
"Hybrid";39,0;35,0;39,0;37,0;1,6
;"Bupa";;;;
"LDAC";87,0;56,0;62,0;59,3;2,8
"KNN";87,0;55,0;65,0;59,3;4,0
"GINI";87,0;54,0;56,0;55,0;0,7
"MACL";87,0;48,0;56,0;52,5;3,2
"SVM";87,0;53,0;63,0;59,5;3,8
"Hybrid";87,0;55,0;62,0;58,8;2,6
;"Pima";;;;
"LDAC";192,0;146,0;149,0;147,5;1,5
"KNN";192,0;131,0;136,0;132,3;2,2
"GINI";192,0;123,0;136,0;130,5;5,3
"MACL";192,0;142,0;145,0;143,3;1,1
"SVM";192,0;128,0;141,0;134,8;4,7
"Hybrid";192,0;146,0;152,0;149,0;2,1
;"haberman";;;;
"LDAC";77,0;57,0;58,0;57,5;0,5
"KNN";77,0;54,0;57,0;55,8;1,1
"GINI";77,0;45,0;58,0;52,3;4,7
"MACL";77,0;57,0;58,0;57,8;0,4
"SVM";77,0;55,0;58,0;56,5;1,1
"Hybrid";77,0;58,0;63,0;60,0;2,1
;"wdbc";;;;
"LDAC";142,0;133,0;138,0;135,5;1,8
"KNN";142,0;127,0;134,0;131,3;2,7
"GINI";142,0;128,0;131,0;128,8;1,3
"MACL";142,0;133,0;139,0;135,8;2,2
"SVM";142,0;127,0;135,0;131,8;2,9
"Hybrid";142,0;127,0;138,0;131,3;4,3
;"thyroid";;;;
"LDAC";56,0;47,0;51,0;49,3;1,8
"KNN";56,0;48,0;52,0;50,8;1,6
"GINI";56,0;48,0;53,0;50,5;1,8
"MACL";56,0;50,0;55,0;52,0;2,1
"SVM";56,0;50,0;53,0;51,0;1,2
"Hybrid";56,0;50,0;55,0;52,0;2,1
;"wine";;;;
"LDAC";45,0;41,0;43,0;43,0;0,7
"KNN";45,0;27,0;35,0;39,9;3,0
"GINI";45,0;37,0;41,0;39,0;2,0
"MACL";45,0;43,0;45,0;44,3;0,8
"SVM";45,0;38,0;44,0;41,3;2,4
"Hybrid";45,0;41,0;43,0;43,0;0,7
