RSR;;;;;;;
Dataset;F;O;W;B;A;;FU
haberman;3;76,5;50;55;53;1,9;3
iris;4;37,5;27;31;29,3;1,5;4
thyroid;5;53,8;41;46;44;1,9;5
bupa;6;86,3;25;37;30,3;4,3;6
pima;8;192;85;98;91,5;4,9;8
wine;13;44,5;0;2;0,8;0,8;13
wdbc;30;142,3;10;15;11,8;2;30
RSMR;;;;;;;
haberman;3;76,5;53;58;55,5;2,1;3
iris;4;37,5;32;38;34,8;2,4;4
thyroid;5;53,8;48;50;49,3;0,8;5
bupa;6;86,3;23;35;28,8;4,3;6
pima;8;192;62;69;65,5;2,5;8
wine;13;44,5;15;23;19,3;3;13
wdbc;30;142,3;10;15;11,8;2;30
GFL;;;;;;;
haberman;3;76,5;58,00;61,00;59,50;1,50;2,00
iris;4;37,5;35,00;39,00;37,00;1,58;2,42
thyroid;5;53,8;49,00;54,00;51,17;1,91;2,58
bupa;6;86,3;55,00;61,00;57,67;2,06;2,67
pima;8;192;145,00;155,00;149,42;3,15;3,00
wine;13;44,5;40,00;44,00;42,67;1,43;2,92
wdbc;30;142,3;128,00;135,00;132,67;1,65;5,08
